117.191.11.77,80
95.104.54.227,8888
81.26.130.121,8080
34.247.48.31,80
91.233.158.143,8080
70.28.43.61,8080
46.209.30.156,8080
24.139.244.238,8888
45.248.138.150,8080
36.91.129.164,3128
192.99.191.234,1080
217.182.120.167,1080
186.249.209.194,8888
162.220.108.59,8080
5.144.128.183,8118
47.244.5.203,8080
47.88.9.187,8118
176.31.69.181,1080
185.132.133.179,1080
167.99.67.234,8080
185.132.133.173,1080
111.2.196.164,8060
103.207.169.162,3128
111.230.99.192,8118
118.180.166.195,8060
173.192.128.238,8123
119.188.171.32,8081
80.253.152.210,8080
93.190.137.58,8080
49.51.193.128,1080
95.47.116.73,80
145.239.169.44,1080
162.220.108.59,80
222.97.175.34,80
178.47.139.50,8080
128.199.229.57,3128
128.199.184.150,3128
176.235.143.71,8080
54.190.162.124,9045
101.108.97.58,8080
18.217.63.108,3128
181.129.138.114,37775
142.44.243.63,3128
181.196.31.106,61724
35.201.196.134,3128
181.112.216.82,51512
168.196.204.17,52821
197.159.136.102,41515
212.56.203.114,30640
118.174.234.46,41678
134.209.30.2,3128
43.243.141.126,53281
110.74.221.113,43260
84.52.85.235,40749
102.176.160.29,46782
198.50.152.64,23500
103.217.156.31,8080
45.71.80.25,36616
165.22.18.177,8118
182.23.2.100,49833
45.162.130.141,33039
202.138.247.145,8080
95.170.220.172,55222
191.7.208.126,53639
104.128.206.123,41089
94.180.249.78,58747
190.214.52.226,53281
89.109.239.183,47837
68.183.42.181,3128
212.154.58.118,35116
103.28.226.125,32862
50.197.38.230,60724
80.87.184.49,41258
36.89.187.45,32832
188.0.96.49,32427
119.15.90.38,39018
188.187.3.180,39278
134.249.165.49,53281
200.0.46.50,37232
118.172.201.105,57900
36.89.148.47,47025
31.29.37.81,60560
165.227.24.121,3128
157.230.138.153,80
181.112.225.78,58948
118.174.232.128,45019
79.106.162.194,43445
176.197.145.254,50580
182.23.32.66,58787
91.235.51.252,53281
176.120.210.70,41258
202.0.107.126,8080
142.93.155.188,3128
194.167.44.91,80
80.48.119.28,8080
91.187.75.48,30707
207.180.240.231,8000
91.205.131.102,8080
208.83.106.105,9999
142.93.194.17,80
181.10.238.7,47148
1.10.189.156,36151
165.227.75.219,80
51.38.71.101,8080
193.38.139.40,80
61.5.192.14,49682
198.1.122.29,80
178.213.130.235,47110
82.114.78.82,45449
51.68.92.17,8080
196.202.164.10,38623
206.189.43.206,80
58.84.190.108,53281
36.90.104.213,80
190.52.193.111,80
194.9.26.223,4550
95.67.45.234,8080
203.145.179.117,8080
95.79.57.206,53281
87.255.18.71,60018
167.99.186.227,3128
103.28.243.11,47986
182.53.193.108,54543
177.104.252.246,42952
186.219.210.86,33932
181.112.62.154,30111
189.126.79.179,55518
176.192.35.2,58130
80.243.13.194,3128
85.21.63.219,53281
111.125.143.184,43244
110.74.219.3,32381
1.186.192.242,37562
117.242.147.69,46491
119.235.19.42,38546
93.157.163.66,35081
198.50.152.64,23500
176.212.114.139,39581
138.36.107.24,41184
82.207.41.135,59891
114.7.0.158,39345
95.84.168.158,31161
212.21.146.228,53281
80.48.119.28,8080
152.44.42.14,3128
93.39.228.188,3128
181.115.168.45,46627
195.170.15.66,8080
103.217.156.31,8080
119.82.251.250,45763
101.109.255.97,52145
198.1.122.29,80
85.9.250.197,32265
186.159.2.241,43459
125.26.7.183,57896
173.242.95.77,40316
45.234.200.18,53281
159.253.110.8,61636
113.193.235.138,51327
1.186.63.130,39142
181.129.127.234,57985
14.162.146.128,40080
118.173.233.150,35963
94.141.244.39,54695
212.50.85.39,41174
190.217.113.119,37816
1.2.169.101,47477
178.33.6.229,3128
91.187.112.173,37750
103.75.161.38,21776
190.7.113.59,80
94.153.194.14,41258
37.32.127.161,36281
138.121.155.127,61932
195.91.249.211,54698
186.216.203.15,34321
119.82.253.200,52931
182.253.121.46,30898
195.230.130.73,33430
50.197.139.162,36609
200.35.56.89,33310
194.12.121.100,61600
45.5.152.39,50294
139.162.28.121,3128
103.111.54.26,49781
1.20.101.46,54381
203.210.84.212,56408
102.176.160.29,46782
61.118.35.94,55725
94.244.28.246,31280
118.98.223.101,443
89.249.65.140,34480
96.9.69.164,53281
93.170.113.159,59024
134.119.214.197,1080
31.223.73.107,47934
35.221.36.31,3128
59.152.13.10,57750
140.227.169.176,3128
181.40.84.38,49674
189.51.98.118,48704
176.192.8.206,39422
203.115.97.106,31070
93.116.57.4,54838
181.129.70.82,46385
41.85.191.6,57797
103.241.204.225,8080
182.53.197.22,43007
170.79.182.62,55553
202.29.228.142,34713
103.12.161.196,53921
36.79.69.139,8080
202.136.88.58,37155
103.94.171.238,60322
202.61.49.52,32883
36.89.194.113,53943
208.113.133.68,9000
140.227.208.172,3128
142.4.196.107,3128
66.7.113.39,3128
187.110.16.2,3128
41.67.135.4,8080
59.91.123.94,8080
13.251.69.156,3128
185.238.92.70,8080
5.16.15.234,8080
177.103.223.155,3128
220.227.0.209,3128
206.189.121.13,8080
197.243.34.226,3128
188.187.3.180,39278
152.204.130.62,8080
58.69.12.210,8080
118.97.180.132,30793
103.76.253.155,3128
188.211.226.118,53281
165.138.225.250,8080
188.18.7.171,57576
103.219.140.187,38130
94.74.177.177,808
103.213.116.134,8080
103.115.128.6,34235
183.88.212.141,8080
119.15.103.114,38341
42.115.88.220,53281
168.205.251.136,53281
78.111.250.174,8080
196.6.232.32,8080
175.142.248.51,53281
170.81.247.47,3128
45.227.111.79,8080
131.72.217.254,53281
42.200.154.50,59175
198.134.28.37,38966
77.108.67.40,54805
41.190.95.20,56167
77.238.79.111,8080
181.114.43.106,53281
154.72.76.246,8080
202.138.248.85,8080
159.224.73.208,23500
88.199.21.74,80
103.194.88.8,51721
149.28.156.54,8080
181.129.56.90,61275
134.119.207.2,1080
182.52.51.33,56059
212.186.133.22,63141
177.70.172.242,8080
213.6.77.118,8080
134.119.207.13,8080
185.82.96.214,8091
183.88.133.40,8080
35.221.52.169,3128
36.37.114.40,41454
139.195.190.253,8080
168.194.15.194,53281
165.22.20.99,8118
103.254.126.182,57183
212.119.236.94,58815
154.0.154.196,8080
5.188.53.77,8080
185.109.54.227,31280
91.227.183.222,58584
45.121.43.25,58762
217.195.87.58,41258
116.90.229.186,47095
36.67.27.189,59405
157.230.2.236,8118
200.153.145.174,40515
